Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie;TaxonId
Cylindroiulus caeruleocinctus;Gemeiner Feldschnurfüßer;Diplopoda;Julida;Julidae;154601
Cyprinus carpio;Karpfen;Pisces;Cypriniformes;Cyprinidae;53911
Daphnia magna;Großer Wasserfloh;Branchiopoda;Cladocera;Daphniidae;460374
Decticus verrucivorus;Warzenbeißer;Insecta;Ensifera;Tettigoniidae;147950
Dermacentor marginatus;Schafzecke;Chelicerata;Ixodida;Ixodidae;320831
Desoria saltans;Gletscherfloh;Collembola;Entomobryomorpha ;Isotomidae;465039
Diplolepis rosae;Schlafapfel-Gallwespe;Insecta;Hymenoptera;Cynipidae;205320
Dolichoderus quadripunctatus;Vierpunkt-Drüsenameise;Insecta;Hymenoptera;Formicidae;343264
Dorcus parallelipipedus;Balkenschröter;Insecta;Coleoptera;Lucanidae;123920
Dreissena polymorpha;Wandermuschel;Bivalvia;Veneroida;Dreissenidae;116340
Drosophila suzukii;Kirschessigfliege;Insecta;Diptera;Drosophilidae;311582
Drusus discolor;;Insecta;Trichoptera;Limnephilidae;495591
Dryocopus martius;Schwarzspecht;Aves;Piciformes;Picidae;17835
Dugesia gonocephala;Dreieckstrudelwurm;Turbellaria;Tricladida;Dugesiidae;623413
Dytiscus marginalis;Gelbrandkäfer;Insecta;Coleoptera;Dytiscidae;127299
Ectobius vittiventris;Bernstein-Waldschabe;Insecta;Blattodea;Ectobiidae;468973
Emus hirtus;Behaarter Kurzflügler;Insecta;Coleoptera;Staphylinidae;483644
Episyrphus balteatus;Hainschwebfliege;Insecta;Diptera;Syrphidae;52482
Erinaceus europaeus;Braunbrustigel;Mammalia;Insectivora;Erinaceidae;43042
Ero furcata;Zweihöcker-Spinnenfresser ;Chelicerata;Araneae;Mimetidae;153825
Esox lucius;Hecht;Pisces;Esociformes;Esocidae;55387
Eudontomyzon mariae;Ukrainisches Bachneunauge;Petromyzontida;Petromyzontiformes;Petromyzontidae;100692
Eukoenenia austriaca;;Chelicerata;Palpigradi;Eukoeneniidae;1150742
Falco tinnunculus;Turmfalke;Aves;Falconiformes;Falconidae;472766
Forficula auricularia;Gemeiner Ohrwurm;Insecta;Dermaptera;Forficulidae;1470430
Formica exsecta;Große Kerbameise;Insecta;Hymenoptera;Formicidae;127332
Formica sanguinea;Blutrote Raubameise;Insecta;Hymenoptera;Formicidae;1398383
Gammarus fossarum;Bachflohkrebs;Malacostraca;Amphipoda;Gammaridae;549490
Glis glis;Siebenschläfer;Mammalia;Rodentia;Gliridae;74383
Glomeris pustulata;Zweireihen-Saftkugler;Diplopoda;Glomerida;Glomeridae;448093
Gomphocerus sibiricus;Sibirische Keulenschrecke;Insecta;Caelifera;Acrididae;333564
Gonepteryx rhamni;Zitronenfalter;Insecta;Lepidoptera;Pieridae;52771
Gryllus campestris;Feldgrille;Insecta;Ensifera;Gryllidae;71248
Gypaetus barbatus;Bartgeier;Aves;Accipitriformes;Accipitridae;5379
Haemopis sanguisuga;Pferdeegel;Clitellata;Hirudinea;Haemopidae;468867
Halictus scabiosae;Gelbbindige Furchenbiene;Insecta;Hymenoptera;Halictidae;415589
Harmonia axyridis;Asiatischer Marienkäfer;Insecta;Coleoptera;Coccinellidae;48484
Hartigiola annulipes;;Insecta;Diptera;Cecidomyiidae;547095
Hedychrum rutilans;Bienenwolf-Goldwespe;Insecta;Hymenoptera;Chrysididae;469708
Helix pomatia;Weinbergschnecke;Gastropoda;Pulmonata;Helicidae;61523
Helophilus pendulus;Gemeine Sumpfschwebfliege;Insecta;Diptera;Syrphidae;52486
Hydrometra stagnorum;Gemeiner Teichläufer;Insecta;Hemiptera;Hydrometridae;327185
Hydrophilus piceus;Großer Kolbenwasserkäfer;Insecta;Coleoptera;Hydrophilidae;447359
Hyla arborea;Europäischer Laubfrosch;Amphibia;Anura;Hylidae;424147
Hystrichopsylla talpae;Maulwurfsfloh;Insecta;Siphonaptera;Hystrichopsyllidae;424425
Icerya purchasi;Australische Wollschildlaus;Insecta;Coccoidea;Margarodidae ;60921
Ichthyosaura alpestris;Bergmolch;Amphibia;Caudata;Salamandridae;135104
Ischnura elegans;Große Pechlibelle;Insecta;Odonata;Coenagrionidae;61508
Issus coleoptratus;Echte Käferzikade;Insecta;Hemiptera;Issidae;141761
Ixodes ricinus;Gemeiner Holzbock;Chelicerata;Ixodida;Ixodidae;51671
Lacerta agilis;Zauneidechse;Reptilia;Squamata;Lacertidae;35912
Lagopus muta;Alpenschneehuhn;Aves;Galliformes;Phasianidae;949
Lamprodila rutilans;Großer Lindenprachtkäfer;Insecta;Coleoptera;Buprestidae;553152
Lampyris noctiluca;Großer Leuchtkäfer;Insecta;Coleoptera;Lampyridae;143617
Lanius collurio;Neuntöter;Aves;Passeriformes;Laniidae;12038
Lasius emarginatus;Rotrückige Hausameise;Insecta;Hymenoptera;Formicidae;341143
Lasius fuliginosus;Glänzendschwarze Holzameise;Insecta;Hymenoptera;Formicidae;124150
Lepisma saccharinum;Silberfischchen;Insecta;Zygentoma;Lepismatidae;1445691
Leptodora kindtii;Glaskrebschen;Branchiopoda;Cladocera;Leptodoridae;1019939
Leptoglossus occidentalis;Amerikanische Kiefernwanze;Insecta;Hemiptera;Coreidae;67771
Lepus timidus;Schneehase;Mammalia;Lagomorpha;Leporidae;55908
Leuctra geniculata;;Insecta;Plecoptera;Leuctridae;482069
Libellula depressa;Plattbauch;Insecta;Odonata;Libellulidae;563098
Limax maximus;Tigerschnegel;Gastropoda;Pulmonata;Limacidae;62470
Liparus glabrirostris;Großer Pestwurzrüssler;Insecta;Coleoptera;Curculionidae;130707
