Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie
Cryptops parisi;keiner;Chilopoda;Scolopendromorpha;Cryptopidae
Cuculus canorus;Kuckuck;Aves;Cuculiformes;Cuculidae
Culiseta annulata;Ringelmücke;Insecta;Diptera;Culicidae
Cychrus caraboides;Gewöhnlicher Schaufelläufer;Insecta;Coleoptera;Carabidae
Cylindroiulus fulviceps;keiner;Diplopoda;Julida;Julidae
Cyprinus carpio;Karpfen;Pisces;Cypriniformes;Cyprinidae
Daphnia magna;Großer Wasserfloh;Branchiopoda;Cladocera;Daphniidae
Decticus verrucivorus;Warzenbeißer;Insecta;Ensifera;Tettigoniidae
Desoria saltans;Gletscherfloh;Collembola;Entomobryomorpha ;Isotomidae
Diplolepis rosae;Schlafapfel-Gallwespe;Insecta;Hymenoptera;Cynipidae
Dolichoderus quadripunctatus;keiner;Insecta;Hymenoptera;Formicidae
Dreissena polymorpha;Wandermuschel;Bivalvia;Veneroida;Dreissenidae
Drosophila nigrosparsa;keiner;Insecta;Diptera;Drosophilidae
Drosophila suzukii;Kirschessigfliege;Insecta;Diptera;Drosophilidae
Drusus discolor;keiner;Insecta;Trichoptera;Limnephilidae
Dryocopus martius;Schwarzspecht;Aves;Piciformes;Picidae
Dugesia gonocephala;Dreieckstrudelwurm;Turbellaria;Tricladida;Dugesiidae
Dytiscus marginalis;Gelbrandkäfer;Insecta;Coleoptera;Dytiscidae
Ectobius vittiventris;Bernstein-Waldschabe;Insecta;Blattodea;Ectobiidae
Emus hirtus;Behaarter Kurzflügler;Insecta;Coleoptera;Staphylinidae
Erinaceus europaeus;Braunbrustigel;Mammalia;Insectivora;Erinaceidae
Ero furcata;Zweihöcker-Spinnenfresser ;Chelicerata;Araneae;Mimetidae
Esox lucius;Hecht;Pisces;Esociformes;Esocidae
Eudontomyzon mariae;Ukrainisches Bachneunauge;Petromyzontida;Petromyzontiformes;Petromyzontidae
Eukoenenia spelaea;keiner;Chelicerata;Palpigradi;Eukoeneniidae
Falco tinnunculus;Turmfalke;Aves;Falconiformes;Falconidae
Forficula auricularia;Gemeiner Ohrwurm;Insecta;Dermaptera;Forficulidae
Formica exsecta;Große Kerbameise;Insecta;Hymenoptera;Formicidae
Formica sanguinea;Blutrote Raubameise;Insecta;Hymenoptera;Formicidae
Gammarus fossarum;Bachflohkrebs;Malacostraca;Amphipoda;Gammaridae
Glis glis;Siebenschläfer;Mammalia;Rodentia;Gliridae
Glomeris transalpina;Alpen-Saftkugler;Diplopoda;Glomerida;Glomeridae
Gomphocerus sibiricus;Sibirische Keulenschrecke;Insecta;Caelifera;Acrididae
Gonepteryx rhamni;Zitronenfalter;Insecta;Lepidoptera;Pieridae
Gryllus campestris;Feldgrille;Insecta;Ensifera;Gryllidae
Gypaetus barbatus;Bartgeier;Aves;Accipitriformes;Accipitridae
Haemopis sanguisuga;Pferdeegel;Clitellata;Hirudinea;Haemopidae
Halictus scabiosae;Gelbbindige Furchenbiene;Insecta;Hymenoptera;Apidae
Harmonia axyridis;Asiatischer Marienkäfer;Insecta;Coleoptera;Coccinellidae
Hartigiola annulipes;keiner;Insecta;Diptera;Cecidomyiidae
Hedychrum rutilans;Bienenwolf-Goldwespe;Insecta;Hymenoptera;Chrysididae
Helix pomatia;Weinbergschnecke;Gastropoda;Pulmonata;Helicidae
Hydrometra stagnorum;Gemeiner Teichläufer;Insecta;Hemiptera;Hydrometridae
Hydrophilus piceus;Großer Kolbenwasserkäfer;Insecta;Coleoptera;Hydrophilidae
Hyla arborea;Europäischer Laubfrosch;Amphibia;Anura;Hylidae
Hystrichopsylla talpae;Maulwurfsfloh;Insecta;Siphonaptera;Hystrichopsyllidae
Icerya purchasi;Australische Wollschildlaus;Insecta;Coccoidea;Margarodidae 
Ichthyosaura alpestris;Bergmolch;Amphibia;Caudata;Salamandridae
Issus coleoptratus;Echte Käferzikade;Insecta;Hemiptera;Issidae
Ixodes ricinus;Gemeiner Holzbock;Chelicerata;Ixodida;Ixodidae
Lagopus muta;Alpenschneehuhn;Aves;Galliformes;Phasianidae
Lampyris noctiluca;Großer Leuchtkäfer;Insecta;Coleoptera;Lampyridae
Lanius collurio;Neuntöter;Aves;Passeriformes;Laniidae
Lasius fuliginosus;Glänzendschwarze Holzameise;Insecta;Hymenoptera;Formicidae
Lepisma saccharinum;Silberfischchen;Insecta;Zygentoma;Lepismatidae
Leptodora kindtii;Glaskrebschen;Branchiopoda;Cladocera;Leptodoridae
Leptoglossus occidentalis;Amerikanische Kiefernwanze;Insecta;Hemiptera;Coreidae
Lepus timidus;Schneehase;Mammalia;Lagomorpha;Leporidae
Libelloides coccajus;Libellen-Schmetterlingshaft;Insecta;Neuroptera;Ascalaphidae
Libellula depressa;Plattbauch;Insecta;Odonata;Libellulidae
Limax maximus;Tigerschnegel;Gastropoda;Pulmonata;Limacidae
Liparus glabrirostris;Großer Pestwurzrüssler;Insecta;Coleoptera;Curculionidae
Lipoptena cervi;Hirschlausfliege;Insecta;Diptera;Hippoboscidae
Lucanus cervus;Hirschkäfer;Insecta;Coleoptera;Lucanidae
Lumbricus rubellus;Roter Laubwurm;Clitellata;Oligochaeta;Lumbricidae
Lumbricus terrestris;Tauwurm;Clitellata;Oligochaeta;Lumbricidae
Lutra lutra;Fischotter;Mammalia;Carnivora;Mustelidae
Machilis pallida;keiner;Insecta;Archaeognatha;Machilidae
Macroglossum stellatarum;Taubenschwänzchen;Insecta;Lepidoptera;Sphingidae
Macropis europaea;Auen-Schenkelbiene;Insecta;Hymenoptera;Apidae
Manica rubida;keiner;Insecta;Hymenoptera;Formicidae
Mantis religiosa;Gottesanbeterin;Insecta;Mantodea;Mantidae
Marmota marmota;Alpenmurmeltier;Mammalia;Rodentia;Sciuridae
Martes foina;Steinmarder;Mammalia;Carnivora;Mustelidae
Megabunus lesserti;Nördliches Riesenauge;Chelicerata;Opiliones;Phalangiidae
Meloe proscarabaeus;Schwarzblauer Ölkäfer;Insecta;Coleoptera;Meloidae
Mergus merganser;Gänsesäger;Aves;Anseriformes;Anatidae
Micrommata virescens;Grüne Huschspinne;Chelicerata;Araneae;Sparassidae
Mikiola fagi;Buchengallmücke;Insecta;Diptera;Cecidomyiidae
Misumena vatia;Veränderliche Krabbenspinne;Chelicerata;Araneae;Thomisidae
Mitopus morio;Gemeiner Gebirgsweberknecht;Chelicerata;Opiliones;Phalangiidae
Musca domestica;Stubenfliege;Insecta;Diptera;Muscidae
Myrmarachne formicaria;Ameisenspringspinne;Chelicerata;Araneae;Salticidae
Myrmeleon formicarius;Gewöhnliche Ameisenjungfer;Insecta;Neuroptera;Myrmeleontidae
Nebria jockischi;Jockischs Dammläufer;Insecta;Coleoptera;Carabidae
Nephrotoma crocata;Gelbbindige Schnake;Insecta;Diptera;Tipulidae
Nicodrilus nocturnus;Schwarzkopfregenwurm;Clitellata;Oligochaeta;Lumbricidae
Nicrophorus vespilloides;Schwarzhörniger Totengräber;Insecta;Coleoptera;Silphidae
Nomada lathburiana;Rothaarige Wespenbiene;Insecta;Hymenoptera;Apidae
Notonecta glauca;Gemeiner Rückenschwimmer;Insecta;Hemiptera;Notonectidae
Nucifraga caryocatactes;Tannenhäher;Aves;Passeriformes;Corvidae
Ocypus olens;Moderkurzflügler;Insecta;Coleoptera;Staphylinidae
Oligotricha striata;keiner;Insecta;Trichoptera;Phryganeidae
Ommatoiulus sabulosus;Sandschnurfüßer;Diplopoda;Julida;Julidae
Orchesella cincta;Gegürtelter Springschwanz;Collembola;Entomobryomorpha;Entomobryidae
Osmia bicolor;Zweifarbige Schneckenhausbiene;Insecta;Hymenoptera;Apidae
Paederidus ruficollis;keiner;Insecta;Coleoptera;Staphylinidae
Pamponerus germanicus;Alabasterfliege;Insecta;Diptera;Asilidae
Panorpa communis;Gemeine Skorpionsfliege;Insecta;Mecoptera;Panorpidae
Paragordius tricuspidatus;keiner;Gordioida;Gordioidea;Chordodidae
Passer domesticus;Haussperling;Aves;Passeriformes;Passeridae
Passer montanus;Feldsperling;Aves;Passeriformes;Passeridae
Pediculus humanus;Menschenlaus;Insecta;Phthiraptera;Pediculidae
Pentatoma rufipes;Rotbeinige Baumwanze;Insecta;Hemiptera;Pentatomidae
Phaeostigma notata;keiner;Insecta;Raphidioptera;Raphidiidae
Phalangium opilio;Hornkanker;Chelicerata;Opiliones;Phalangiidae
Phengaris alcon;keiner;Insecta;Lepidoptera;Lycaenidae
Philaenus spumarius;Wiesenschaumzikade;Insecta;Hemiptera;Aphrophoridae
Philaeus chrysops;Goldaugenspringspinne;Chelicerata;Araneae;Salticidae
Philanthus triangulum;Bienenwolf ;Insecta;Hymenoptera;Crabronidae
Pholcus phalangioides;Große Zitterspinne;Chelicerata;Araneae;Pholcidae
Pholidoptera aptera;Alpen-Strauchschrecke;Insecta;Ensifera;Tettigoniidae
Pholidoptera griseoaptera;Gewöhnliche Strauchschrecke;Insecta;Ensifera;Tettigoniidae
Phyllopertha horticola;Gartenlaubkäfer;Insecta;Coleoptera;Scarabaeidae
Physella acuta;Spitze Blasenschnecke;Gastropoda;Pulmonata;Physidae
Picromerus bidens;Zweizähnige Dornwanze;Insecta;Hemiptera;Pentatomidae
Pieris rapae;Kleiner Kohlweißling;Insecta;Lepidoptera;Pieridae
Pipistrellus pipistrellus;Zwergfledermaus;Mammalia;Chiroptera;Vespertilionidae
Pisaura mirabilis;Brautgeschenkspinne;Chelicerata;Araneae;Pisauridae
Plodia interpunctella;Dörrobstmotte;Insecta;Lepidoptera;Pyralidae
Podura aquatica;Schwarzer Wasserspringer;Collembola;Poduromorpha;Poduridae
Polistes dominula;Haus-Feldwespe;Insecta;Hymenoptera;Vespidae
Polydesmus denticulatus;Sommer-Bandfüßer;Diplopoda;Polydesmida;Polydesmidae
Polyxenus lagurus ;keiner;Diplopoda;Polyxenida;Polyxenidae
Pompilus cinereus;Bleigraue Wegwespe;Insecta;Hymenoptera;Pompilidae
Pseudopanthera macularia;Pantherspanner;Insecta;Lepidoptera;Geometridae
Psococerastis gibbosa;keiner;Insecta;Psocoptera;Psocidae
Pyrrhocoris apterus;Gewöhnliche Feuerwanze;Insecta;Hemiptera;Pyrrhocoridae
Regulus regulus;Wintergoldhähnchen;Aves;Passeriformes;Regulidae
Rhingia campestris;Gemeine Schnauzenschwebfliege ;Insecta;Diptera;Syrphidae
Rhinolophus hipposideros;Kleine Hufeisennase;Mammalia;Chiroptera;Rhinolophidae
Rhynocoris iracundus;Rote Mordwanze;Insecta;Hemiptera;Reduviidae
Rhyssa persuasoria;Holzwespen-Schlupfwespe;Insecta;Hymenoptera;Ichneumonidae
Rupicapra rupicapra;Gämse;Mammalia;Artiodactyla;Bovidae
Salamandra atra;Alpensalamander;Amphibia;Caudata;Salamandridae
Salamandra salamandra;Feuersalamander;Amphibia;Caudata;Salamandridae
Salticus scenicus;Zebraspringspinne;Chelicerata;Araneae;Salticidae
Saturnia pavonia;Kleines Nachtpfauenauge;Insecta;Lepidoptera;Saturniidae
Sceliphron curvatum;Orientalische Mauerwespe;Insecta;Hymenoptera;Sphecidae
Scutigera coleoptrata;Spinnenläufer;Chilopoda;Scutigeromorpha;Scutigeridae
Simulium variegatum;keiner;Insecta;Diptera;Simuliidae
Siphoninus phillyreae;Eschen-Weiße Fliege;Insecta;Hemiptera;Aleyrodidae
Sisyra nigra;keiner;Insecta;Neuroptera;Sisyridae
Sorex alpinus;Alpenspitzmaus;Mammalia;Insectivora;Soricidae
Sphaeridium scarabaeoides;Gemeiner Dungkugelkäfer;Insecta;Coleoptera;Hydrophilidae
Sphiximorpha subsessilis ;Langfühlerschwebfliege;Insecta;Diptera;Syrphidae
Stictocephala bisoni;Büffelzikade;Insecta;Hemiptera;Membracidae
Stomaphis quercus;Eichen-Birken-Honiglaus;Insecta;Hemiptera;Lachnidae
Stomoxys calcitrans;Wadenstecher;Insecta;Diptera;Muscidae
Strix aluco;Waldkauz;Aves;Strigiformes;Strigidae
Tabanus bromius;Gemeine Viehbremse;Insecta;Diptera;Tabanidae
Taeniopteryx kuehtreiberi;Kühtreiber‘s gebänderte Steinfliege;Insecta;Plecoptera;Taeniopterygidae
Talpa europaea;Europäischer Maulwurf;Mammalia;Insectivora;Talpidae
Tenthredo scrophulariae;Braunwurzblattwespe;Insecta;Hymenoptera;Tenthredinidae
Tetramorium alpestre;keiner;Insecta;Hymenoptera;Formicidae
Tettigonia viridissima;Grünes Heupferd;Insecta;Ensifera;Tettigoniidae
Thymallus thymallus;Europäische Äsche;Pisces;Salmoniformes;Salmonidae
Trimerophorella rhaetica;keiner;Diplopoda;Chordeumatida;Neoatractosomatidae
Trogulus nepaeformis;Mittlerer Brettkanker;Chelicerata;Opiliones;Trogulidae
Trypocopris vernalis;Fühlingsmistkäfer;Insecta;Coleoptera;Scarabaeidae
Turdus merula;Amsel;Aves;Passeriformes;Turdidae
Urocerus gigas;Riesenholzwespe;Insecta;Hymenoptera;Siricidae
Vanessa cardui;Distelfalter;Insecta;Lepidoptera;Nymphalidae
Vespula germanica;Deutsche Wespe;Insecta;Hymenoptera;Vespidae
Viviparus contectus;Spitze Sumpfdeckelschnecke;Gastropoda;Architaenioglossa;Viviparidae
Vulpes vulpes;Rotfuchs;Mammalia;Carnivora;Canidae
Xenos vesparum;keiner;Insecta;Strepsiptera;Xenidae
Xylocopa violacea;Blauschwarze Holzbiene;Insecta;Hymenoptera;Apidae
Zootoca vivipara;Bergeidechse;Reptilia;Squamata;Lacertidae
Zygaena filipendulae;Sechsfleck-Widderchen;Insecta;Lepidoptera;Zygaenidae
